rank,finalWorth (million dollars),category,personName,age,country,city,source,industries,countryOfCitizenship,selfMade,status,gender,lastName,firstName,title,birthYear,birthMonth,birthDay
1217,"$2,500.00",Finance & Investments,J. Tomilson Hill,74,United States,New York,Investments,Finance & Investments,United States,TRUE,D,M,Hill,J. Tomilson,,1948,5,24
1217,"$2,500.00",Media & Entertainment,Jay-Z,53,United States,New York,Music,Media & Entertainment,United States,TRUE,U,M,Jay-Z,,,1969,12,4
1217,"$2,500.00",Automotive,Baba Kalyani,74,India,Pune,Engineering,Automotive,India,FALSE,E,M,Kalyani,Baba,,1949,1,7
1217,"$2,500.00",Energy,Saban Cemil Kazanci,62,Turkey,Istanbul,Energy,Energy,Turkey,FALSE,R,M,Kazanci,Saban Cemil,,1961,2,13
1217,"$2,500.00",Real Estate,Brad Kelley,66,United States,Franklin,Tobacco,Real Estate,United States,TRUE,D,M,Kelley,Brad,,1956,12,23
1217,"$2,500.00",Construction & Engineering,Wolfgang Leitner,70,Austria,Graz,Engineering,Construction & Engineering,Austria,TRUE,U,M,Leitner,Wolfgang,,1953,3,27
1217,"$2,500.00",Manufacturing,Li Hongxin & family,70,China,Yanzhou,Paper & related products,Manufacturing,China,TRUE,D,M,Li,Hongxin,,1953,3,7
1217,"$2,500.00",Real Estate,Lin Chen-hai,76,Taiwan,Taipei,Real estate,Real Estate,Taiwan,TRUE,D,M,Lin,Chen-hai,,1947,3,1
1217,"$2,500.00",Fashion & Retail,Lu Yiwen,36,China,Shenzhen,Jewelry,Fashion & Retail,China,TRUE,D,F,Lu,Yiwen,,1987,1,1
1217,"$2,500.00",Food & Beverage,Prayudh Mahagitsiri,77,Thailand,Bangkok,"Coffee, shipping",Food & Beverage,Thailand,FALSE,U,M,Mahagitsiri,Prayudh,,1946,1,1
1217,"$2,500.00",Healthcare,Willy Michel,76,Switzerland,Burgdorf,Medical devices,Healthcare,Switzerland,TRUE,E,M,Michel,Willy,,1947,1,1
1217,"$2,500.00",Automotive,Lachhman Das Mittal,92,India,Delhi,Tractors,Automotive,India,FALSE,E,M,Mittal,Lachhman Das,,1930,11,5
1217,"$2,500.00",Technology,Bobby Murphy,34,United States,Venice,Snapchat,Technology,United States,TRUE,D,M,Murphy,Bobby,Cofounder,1988,7,19
1217,"$2,500.00",Real Estate,Tomas Olivo Lopez,49,Spain,Marbella,Shopping centers,Real Estate,Spain,TRUE,U,M,Olivo Lopez,Tomas,,1974,1,1
1217,"$2,500.00",Manufacturing,Eren Ozmen,64,United States,Reno,Aerospace,Manufacturing,United States,TRUE,D,F,Ozmen,Eren,,1958,9,3
1217,"$2,500.00",Finance & Investments,John Pritzker,69,United States,San Francisco,"Hotels, investments",Finance & Investments,United States,FALSE,D,M,Pritzker,John,,1953,8,10
1217,"$2,500.00",Technology,Qiu Minxiu,77,China,Shangyu,Semiconductors,Technology,China,TRUE,E,F,Qiu,Minxiu,,1945,9,17
1217,"$2,500.00",Diversified,Ferit Faik Sahenk,59,Turkey,Istanbul,Diversified,Diversified,Turkey,FALSE,U,M,Sahenk,Ferit Faik,,1964,3,18
1217,"$2,500.00",Metals & Mining,Wenrong Shen,77,China,Zhangjiagang,Steel production,Metals & Mining,China,TRUE,U,M,Shen,Wenrong,,1946,2,13
1217,"$2,500.00",Diversified,Yuzhu Shi,60,China,Shanghai,"Online games, investments",Diversified,China,TRUE,D,M,Shi,Yuzhu,,1962,9,1
1217,"$2,500.00",Real Estate,Jeff Sutton,63,United States,New York,Real estate,Real Estate,United States,TRUE,D,M,Sutton,Jeff,,1960,1,17
1217,"$2,500.00",Diversified,"Henry Sy, Jr.",69,Philippines,Manila,Diversified,Diversified,Philippines,FALSE,D,M,Sy,Henry,,1954,1,1
1217,"$2,500.00",Diversified,Andrew Tan,71,Philippines,Manila,Diversified,Diversified,Philippines,TRUE,D,M,Tan,Andrew,,1952,2,1
1217,"$2,500.00",Energy,Arvind Tiku,53,Singapore,Singapore,"Oil & gas, investments",Energy,India,TRUE,U,M,Tiku,Arvind,,1970,2,22
1217,"$2,500.00",Finance & Investments,Byron Trott,64,United States,Winnetka,Investments,Finance & Investments,United States,TRUE,U,M,Trott,Byron,,1958,12,2
1217,"$2,500.00",Real Estate,Donald Trump,76,United States,Palm Beach,Real estate,Real Estate,United States,FALSE,D,M,Trump,Donald,,1946,6,14
1217,"$2,500.00",Automotive,Peter Unger,78,Germany,Neustadt an der Waldnaab,Auto repair,Automotive,Germany,TRUE,U,M,Unger,Peter,,1944,8,20
1217,"$2,500.00",Fashion & Retail,Roger Wang,74,China,Nanjing,Retail,Fashion & Retail,United States,TRUE,D,M,Wang,Roger,,1949,1,1
1217,"$2,500.00",Media & Entertainment,Oprah Winfrey,69,United States,Montecito,TV shows,Media & Entertainment,United States,TRUE,D,F,Winfrey,Oprah,"Entrepreneur, Personality, Philanthropist",1954,1,29
1217,"$2,500.00",Food & Beverage,Wu Zhigang & family,88,China,Shenyang,Bakery chain,Food & Beverage,China,TRUE,D,M,Wu,Zhigang,,1935,1,14
1217,"$2,500.00",Metals & Mining,Xie Weitong,66,Singapore,,Cobalt,Metals & Mining,Taiwan,TRUE,D,M,Xie,Weitong,,1957,1,1
1217,"$2,500.00",Fashion & Retail,Ye Guofu,45,China,Guangzhou,Retail,Fashion & Retail,China,TRUE,R,M,Ye,Guofu,,1978,1,1
1272,"$2,400.00",Technology,Brian Acton,51,United States,Palo Alto,WhatsApp,Technology,United States,TRUE,D,M,Acton,Brian,Cofounder,1972,2,17
1272,"$2,400.00",Automotive,Abdulla Al Futtaim & family,83,United Arab Emirates,Dubai,"Auto dealers, investments",Automotive,United Arab Emirates,FALSE,D,M,Al Futtaim,Abdulla,,1940,1,1
1272,"$2,400.00",Energy,Edward Bass,77,United States,Fort Worth,"Oil, investments",Energy,United States,FALSE,E,M,Bass,Edward,,1945,9,10
1272,"$2,400.00",Media & Entertainment,Koos Bekker,70,South Africa,Cape Town,"Media, investments",Media & Entertainment,South Africa,TRUE,U,M,Bekker,Koos,,1952,12,14
1272,"$2,400.00",Healthcare,Otto Philipp Braun,45,Germany,Melsungen,Medical technology,Healthcare,Germany,FALSE,D,M,Braun,Otto Philipp,,1978,1,1
1272,"$2,400.00",Fashion & Retail,Chen Tei-fu,74,United States,Los Angeles,Herbal products,Fashion & Retail,Taiwan,TRUE,D,M,Chen,Tei-fu,,1948,4,19
1272,"$2,400.00",Fashion & Retail,Abilio dos Santos Diniz,86,Brazil,Sao Paulo,Retail,Fashion & Retail,Brazil,FALSE,D,M,Diniz,Abilio dos Santos,,1936,12,28
1272,"$2,400.00",Finance & Investments,Marcel Erni,58,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,TRUE,D,M,Erni,Marcel,,1965,1,1
1272,"$2,400.00",Fashion & Retail,Doris Fisher,91,United States,San Francisco,Gap,Fashion & Retail,United States,TRUE,D,F,Fisher,Doris,Cofounder,1931,8,23
1272,"$2,400.00",Finance & Investments,Gerald Ford,78,United States,Dallas,Banking,Finance & Investments,United States,TRUE,D,M,Ford,Gerald,Managing Member,1944,8,4
1272,"$2,400.00",Healthcare,Bernard Fraisse & family,66,France,Paris,Pharmaceuticals,Healthcare,France,TRUE,E,M,Fraisse,Bernard,,1956,8,10
1272,"$2,400.00",Finance & Investments,Alfred Gantner,55,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,TRUE,D,M,Gantner,Alfred,,1968,4,1
1272,"$2,400.00",Gambling & Casinos,Paul Gauselmann & family,88,Germany,Espelkamp,Gambling,Gambling & Casinos,Germany,TRUE,D,M,Gauselmann,Paul,,1934,8,26
1272,"$2,400.00",Real Estate,Mitchell Goldhar,61,Canada,North York,Real estate,Real Estate,Canada,TRUE,D,M,Goldhar,Mitchell,Owner,1961,7,15
1272,"$2,400.00",Finance & Investments,Peter Hargreaves,76,United Kingdom,Bristol,Financial services,Finance & Investments,United Kingdom,TRUE,D,M,Hargreaves,Peter,,1946,10,5
1272,"$2,400.00",Healthcare,Xuande Hua & family,79,China,Taizhou,Pharmaceuticals,Healthcare,China,TRUE,D,M,Hua,Xuande,,1943,10,30
1272,"$2,400.00",Diversified,Kwek Leng Kee,68,Singapore,Singapore,Diversified,Diversified,Singapore,FALSE,U,M,Kwek,Leng Kee,,1955,1,1
1272,"$2,400.00",Manufacturing,Catherine Lozick,77,United States,Fort Lauderdale,Valve manufacturing,Manufacturing,United States,FALSE,U,F,Lozick,Catherine,,1945,5,1
1272,"$2,400.00",Media & Entertainment,Kalanithi Maran,57,India,Chennai,Media,Media & Entertainment,India,TRUE,E,M,Maran,Kalanithi,,1965,7,26
1272,"$2,400.00",Finance & Investments,Jed McCaleb,48,United States,Berkeley,Cryptocurrency,Finance & Investments,United States,TRUE,D,M,McCaleb,Jed,,1975,1,1
1272,"$2,400.00",Manufacturing,Fatih Ozmen,65,United States,Reno,Aerospace,Manufacturing,United States,TRUE,D,M,Ozmen,Fatih,,1958,2,2
1272,"$2,400.00",Food & Beverage,Pan Laican,,China,foshan,Soy sauce,Food & Beverage,China,TRUE,D,M,Pan,Laican,,,,
1272,"$2,400.00",Metals & Mining,Tor Peterson,58,Switzerland,Zug,Commodities,Metals & Mining,United States,TRUE,D,M,Peterson,Tor,,1964,8,7
1272,"$2,400.00",Finance & Investments,Daniel Pritzker,63,United States,Marin County,"Hotels, investments",Finance & Investments,United States,FALSE,D,M,Pritzker,Daniel,,1959,9,15
1272,"$2,400.00",Real Estate,Jinxing Qi,61,China,Hangzhou,Real estate,Real Estate,China,TRUE,U,M,Qi,Jinxing,,1962,3,28
1272,"$2,400.00",Manufacturing,Qiu Jianping & family,61,China,Hangzhou,Hand tools,Manufacturing,China,TRUE,U,M,Qiu,Jianping,,1962,1,28
1272,"$2,400.00",Diversified,Rajan Raheja & family,68,India,Mumbai,Diversified,Diversified,India,FALSE,E,M,Raheja,Rajan,,1954,6,1
1272,"$2,400.00",Finance & Investments,Matthias Reinhart,63,Switzerland,Zurich,Financial services,Finance & Investments,Switzerland,TRUE,D,M,Reinhart,Matthias,,1960,1,1
1272,"$2,400.00",Technology,Arnout Schuijff,55,Netherlands,Amsterdam,Payments software,Technology,Netherlands,TRUE,D,M,Schuijff,Arnout,,1967,10,16
1272,"$2,400.00",Diversified,Hans Sy,67,Philippines,Manila,Diversified,Diversified,Philippines,FALSE,D,M,Sy,Hans,,1955,9,29
1272,"$2,400.00",Diversified,Herbert Sy,66,Philippines,Manila,Diversified,Diversified,Philippines,FALSE,D,M,Sy,Herbert,,1956,10,1
1272,"$2,400.00",Diversified,Lucio Tan,88,Philippines,Manila,Diversified,Diversified,Philippines,TRUE,U,M,Tan,Lucio,,1934,7,17
1272,"$2,400.00",Technology,Tsai Ming-kai,72,Taiwan,Hsinchu,Semiconductors,Technology,Taiwan,TRUE,D,M,Tsai,Ming-kai,,1950,4,6
1272,"$2,400.00",Media & Entertainment,Ted Turner,84,United States,Atlanta,Cable television,Media & Entertainment,United States,FALSE,U,M,Turner,Ted,,1938,11,19
1272,"$2,400.00",Real Estate,David Walentas,84,United States,New York,Real estate,Real Estate,United States,TRUE,U,M,Walentas,David,,1938,8,7
1272,"$2,400.00",Finance & Investments,Urs Wietlisbach,61,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,TRUE,D,M,Wietlisbach,Urs,,1961,8,25
1272,"$2,400.00",Technology,Jerry Yang,54,United States,Los Altos Hills,Yahoo,Technology,United States,TRUE,D,M,Yang,Jerry,Cofounder,1968,11,6
1272,"$2,400.00",Manufacturing,Yang Jianliang & family,53,China,Wuxi,Machinery,Manufacturing,China,TRUE,D,M,Yang,Jianliang,,1969,6,1
1272,"$2,400.00",Manufacturing,Yang Weidong & family,54,China,Jiaxing,Chemicals,Manufacturing,China,TRUE,D,M,Yang,Weidong,,1968,9,9
1272,"$2,400.00",Real Estate,Mortimer Zuckerman,85,United States,New York,"Real estate, media",Real Estate,United States,TRUE,D,M,Zuckerman,Mortimer,Chairman and CEO,1937,6,4
1312,"$2,300.00",Finance & Investments,John Armitage,63,United Kingdom,London,Hedge funds,Finance & Investments,Ireland,TRUE,D,M,Armitage,John,,1959,12,1
1312,"$2,300.00",Energy,Lee Bass,66,United States,Fort Worth,"Oil, investments",Energy,United States,FALSE,U,M,Bass,Lee,,1956,5,24
1312,"$2,300.00",Technology,John Bicket,43,United States,San Francisco,Sensor systems,Technology,United States,TRUE,U,M,Bicket,John,,1980,3,20
1312,"$2,300.00",Technology,Sanjit Biswas,41,United States,San Francisco,Sensor systems,Technology,United States,TRUE,U,M,Biswas,Sanjit,,1982,1,12
1312,"$2,300.00",Fashion & Retail,Timothy Boyle,73,United States,Portland,Columbia Sportswear,Fashion & Retail,United States,TRUE,E,M,Boyle,Timothy,,1949,9,7
1312,"$2,300.00",Technology,Morris Chang,91,Taiwan,Hsinchu,Semiconductors,Technology,Taiwan,TRUE,D,M,Chang,Morris,,1931,7,10
1312,"$2,300.00",Real Estate,Chao Teng-hsiung,78,Taiwan,Taipei,Real estate,Real Estate,Taiwan,TRUE,D,M,Chao,Teng-hsiung,,1944,10,4
1312,"$2,300.00",Finance & Investments,Samuel Chen,73,,,Investments,Finance & Investments,Taiwan,TRUE,N,M,Chen,Samuel,,1950,1,1
1312,"$2,300.00",Manufacturing,Chu Lam Yiu,53,Hong Kong,Hong Kong,Flavorings,Manufacturing,Hong Kong,TRUE,E,F,Chu,Lam Yiu,,1969,12,1
1312,"$2,300.00",Technology,K. Dinesh,68,India,Bangalore,Software services,Technology,India,TRUE,D,M,Dinesh,K.,,1954,6,6
1312,"$2,300.00",Diversified,James Duff,62,United States,Hattiesburg,"Tires, diversified",Diversified,United States,TRUE,U,M,Duff,James,,1961,3,7
1312,"$2,300.00",Diversified,Thomas Duff,66,United States,Hattiesburg,"Tires, diversified",Diversified,United States,TRUE,U,M,Duff,Thomas,,1956,12,31
1312,"$2,300.00",Technology,Daniel Ek,40,Sweden,Stockholm,Spotify,Technology,Sweden,TRUE,D,M,Ek,Daniel,CEO,1983,2,21
1312,"$2,300.00",Fashion & Retail,John Fisher,61,United States,San Francisco,Gap,Fashion & Retail,United States,FALSE,D,M,Fisher,John,President,1961,6,1
1312,"$2,300.00",Fashion & Retail,Georg Haub,61,Germany,Berlin,Retail,Fashion & Retail,Germany,FALSE,U,M,Haub,Georg,,1962,1,1
1312,"$2,300.00",Construction & Engineering,Erman Ilicak,55,Turkey,Ankara,Construction,Construction & Engineering,Turkey,TRUE,E,M,Ilicak,Erman,,1967,10,3
1312,"$2,300.00",Finance & Investments,Justin Ishbia,45,United States,Chicago,Private equity,Finance & Investments,United States,FALSE,U,M,Ishbia,Justin,,1977,9,18
1312,"$2,300.00",Technology,Long Jiang,49,China,Weifang,Manufacturing,Technology,China,TRUE,U,M,Jiang,Long,,1974,2,1
1312,"$2,300.00",Finance & Investments,Bruce Karsh,67,United States,Los Angeles,Private equity,Finance & Investments,United States,TRUE,U,M,Karsh,Bruce,President,1955,10,10
1312,"$2,300.00",Technology,Bom Kim,44,South Korea,Seoul,Online retailing,Technology,United States,TRUE,D,M,Kim,Bom,,1978,10,1
1312,"$2,300.00",Food & Beverage,Jianping Lai,,China,Foshan,Soy sauce,Food & Beverage,China,TRUE,D,M,Lai,Jianping,,,,
1312,"$2,300.00",Healthcare,Lam Kong,58,Hong Kong,Hong Kong,Pharmaceuticals,Healthcare,China,TRUE,D,M,Lam,Kong,,1964,6,15
1312,"$2,300.00",Finance & Investments,Stephen Lansdown,70,Guernsey,St. Peter Port,Financial services,Finance & Investments,Guernsey,TRUE,D,M,Lansdown,Stephen,,1952,8,30
1312,"$2,300.00",Fashion & Retail,Kevin David Lehmann,20,,,Drugstores,Fashion & Retail,Germany,FALSE,D,M,Lehmann,Kevin David,,2002,9,1
1312,"$2,300.00",Food & Beverage,Li Haiyan,,China,Chengdu,Restaurants,Food & Beverage,China,TRUE,U,F,Li,Haiyan,,,,
1312,"$2,300.00",Finance & Investments,Hua Li,45,China,Shenzhen,Financial services,Finance & Investments,China,TRUE,U,M,Li,Hua,,1978,1,1
1312,"$2,300.00",Gambling & Casinos,Lim Kok Thay,71,Malaysia,Kuala Lumpur,Casinos,Gambling & Casinos,Malaysia,FALSE,U,M,Lim,Kok Thay,,1951,8,16
1312,"$2,300.00",Food & Beverage,Kishore Mariwala,88,India,Mumbai,Consumer goods,Food & Beverage,India,FALSE,D,M,Mariwala,Kishore,,1935,2,14
1312,"$2,300.00",Food & Beverage,Clayton Mathile,82,United States,Brookville,Pet food,Food & Beverage,United States,TRUE,E,M,Mathile,Clayton,"Investor, Philanthropist",1941,1,11
1312,"$2,300.00",Fashion & Retail,Mi Enhua,65,China,Urumqi,Retail,Fashion & Retail,China,TRUE,D,M,Mi,Enhua,,1958,4,1
1312,"$2,300.00",Food & Beverage,Vadim Moshkovich,55,Russia,Moscow,"Agriculture, land",Food & Beverage,Russia,TRUE,U,M,Moshkovich,Vadim,,1967,4,6
1312,"$2,300.00",Food & Beverage,David Murdock,99,United States,Ventura,"Dole, real estate",Food & Beverage,United States,TRUE,E,M,Murdock,David,,1923,4,10
1312,"$2,300.00",Fashion & Retail,David Nahmad,75,United States,New York,Art collection,Fashion & Retail,Monaco,TRUE,U,M,Nahmad,David,,1947,4,14
1312,"$2,300.00",Finance & Investments,Lirio Parisotto,69,Brazil,Manaus,Investments,Finance & Investments,Brazil,TRUE,D,M,Parisotto,Lirio,,1953,12,18
1312,"$2,300.00",Food & Beverage,Augusto Perfetti,,Switzerland,Lugano,Candy,Food & Beverage,Italy,FALSE,Split Family Fortune,M,Perfetti,Augusto,,,,
1312,"$2,300.00",Food & Beverage,Giorgio Perfetti,,Switzerland,Lugano,Candy,Food & Beverage,Italy,FALSE,Split Family Fortune,M,Perfetti,Giorgio,,,,
1312,"$2,300.00",Fashion & Retail,Alberto Prada,69,Italy,Milan,Luxury goods,Fashion & Retail,Italy,FALSE,U,M,Prada,Alberto,,1954,2,21
1312,"$2,300.00",Fashion & Retail,Marina Prada,77,Italy,Milan,Luxury goods,Fashion & Retail,Italy,FALSE,U,F,Prada,Marina,,1945,7,14
1312,"$2,300.00",Diversified,Filiz Sahenk,56,Turkey,Istanbul,Diversified,Diversified,Turkey,FALSE,U,F,Sahenk,Filiz,,1967,2,14
1312,"$2,300.00",Food & Beverage,Richard Sands,72,United States,Delray Beach,Liquor,Food & Beverage,United States,FALSE,Split Family Fortune,M,Sands,Richard,,1951,3,3
1312,"$2,300.00",Finance & Investments,Stephan Schmidheiny,75,Switzerland,Hurden,Investments,Finance & Investments,Switzerland,FALSE,E,M,Schmidheiny,Stephan,,1947,10,29
1312,"$2,300.00",Healthcare,Alberto Siccardi & family,78,Switzerland,Lugano,Medical devices,Healthcare,Switzerland,FALSE,D,M,Siccardi,Alberto,,1944,5,1
1312,"$2,300.00",Real Estate,Stefan Soloviev,47,United States,Delray Beach,"Real estate, grains",Real Estate,United States,FALSE,N,M,Soloviev,Stefan,,1975,5,21
1312,"$2,300.00",Fashion & Retail,Tang Yiu,89,Hong Kong,Hong Kong,Fashion retail,Fashion & Retail,Hong Kong,TRUE,D,M,Tang,Yiu,,1934,4,1
1312,"$2,300.00",Technology,Tian Ming,69,China,Hefei,Measuring instruments,Technology,China,TRUE,U,M,Tian,Ming,,1953,12,20
1312,"$2,300.00",Finance & Investments,T.Y. Tsai,70,Taiwan,Taipei,Finance,Finance & Investments,Taiwan,FALSE,D,M,Tsai,T.Y.,,1953,1,1
1312,"$2,300.00",Technology,Jayshree Ullal,62,United States,Saratoga,Computer networking,Technology,United States,TRUE,U,F,Ullal,Jayshree,CEO,1961,3,27
1312,"$2,300.00",Finance & Investments,Georg von Opel,56,United Kingdom,London,"Real estate, investments",Finance & Investments,Switzerland,FALSE,U,M,von Opel,Georg,,1966,5,4
1312,"$2,300.00",Real Estate,Lang Walker,77,Australia,Sydney,Real estate,Real Estate,Australia,TRUE,U,M,Walker,Lang,,1945,7,5
1312,"$2,300.00",Manufacturing,Xicheng Wang & family,74,China,Zhaoyuan,Tires,Manufacturing,China,TRUE,D,M,Wang,Xicheng,,1948,11,1
1312,"$2,300.00",Real Estate,Wang Zhenhua,61,China,Shanghai,Real estate,Real Estate,China,TRUE,D,M,Wang,Zhenhua,,1962,3,1
1312,"$2,300.00",Food & Beverage,Paul-Heinz Wesjohann & family,79,Germany,Rechterfeld,Chicken processing,Food & Beverage,Germany,TRUE,D,M,Wesjohann,Paul-Heinz,,1943,5,25
1312,"$2,300.00",Fashion & Retail,Xie Bingkun & family,56,China,Fuzhou,Pearlescent pigments,Fashion & Retail,China,TRUE,U,M,Xie,Bingkun,,1966,8,25
1312,"$2,300.00",Manufacturing,Xu Shugen,57,China,Hangzhou,"Construction, mining machinery",Manufacturing,China,TRUE,U,M,Xu,Shugen,,1965,6,12
1312,"$2,300.00",Healthcare,Christoph Zeller,65,Liechtenstein,Vaduz,Dental materials,Healthcare,Liechtenstein,FALSE,E,M,Zeller,Christoph,,1957,5,4
1312,"$2,300.00",Manufacturing,Zhang Jingzhang & family,87,China,Ningbo,Precision machinery,Manufacturing,China,TRUE,U,M,Zhang,Jingzhang,,1936,1,1
1368,"$2,200.00",Real Estate,George Argyros & family,86,United States,Newport Beach,"Real estate, investments",Real Estate,United States,TRUE,D,M,Argyros,George,Investor,1937,2,4
1368,"$2,200.00",Finance & Investments,Brian Armstrong,40,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,TRUE,D,M,Armstrong,Brian,,1983,1,25
1368,"$2,200.00",Energy,Albert Avdolyan,52,Russia,Moscow,"Oil, mining",Energy,Russia,TRUE,R,M,Avdolyan,Albert,,1970,11,8
1368,"$2,200.00",Diversified,Sezai Bacaksiz,73,Turkey,Ankara,Diversified,Diversified,Turkey,TRUE,U,M,Bacaksiz,Sezai,,1949,7,27
1368,"$2,200.00",Technology,Aneel Bhusri,57,United States,San Francisco,Business software,Technology,United States,TRUE,D,M,Bhusri,Aneel,Investor,1966,2,4
1368,"$2,200.00",Fashion & Retail,Brett Blundy,63,Bahamas,Paradise Island,"Retail, agribusiness",Fashion & Retail,Australia,TRUE,E,M,Blundy,Brett,,1960,1,17
1368,"$2,200.00",Finance & Investments,J. Hyatt Brown,85,United States,Ormond Beach,Insurance,Finance & Investments,United States,FALSE,D,M,Brown,J. Hyatt,,1937,7,12
1368,"$2,200.00",Finance & Investments,Chen Jinxia,55,China,Shanghai,Investments,Finance & Investments,China,FALSE,D,F,Chen,Jinxia,,1968,3,28
1368,"$2,200.00",Healthcare,Chen Xueli,71,China,Weihai,Pharmaceuticals,Healthcare,China,TRUE,U,M,Chen,Xueli,,1951,10,1
1368,"$2,200.00",Finance & Investments,Dermot Desmond,72,Ireland,Dublin,Finance,Finance & Investments,Ireland,TRUE,U,M,Desmond,Dermot,,1950,7,1
1368,"$2,200.00",Healthcare,Dong Wei,52,China,Lianyungang,Pharmaceuticals,Healthcare,China,TRUE,D,M,Dong,Wei,,1971,1,1
1368,"$2,200.00",Fashion & Retail,Tom Ford,61,United States,Los Angeles,Fashion,Fashion & Retail,United States,TRUE,N,M,Ford,Tom,,1961,8,27
1368,"$2,200.00",Food & Beverage,Fu Guangming & family,69,China,Nanping,Poultry,Food & Beverage,China,TRUE,U,M,Fu,Guangming,,1953,10,2
1368,"$2,200.00",Finance & Investments,Noam Gottesman,61,United States,New York,Hedge funds,Finance & Investments,United States,TRUE,D,M,Gottesman,Noam,Chief Executive Officer,1961,5,24
1368,"$2,200.00",Finance & Investments,Jeffrey Gundlach,64,United States,Los Angeles,Investments,Finance & Investments,United States,TRUE,E,M,Gundlach,Jeffrey,CEO,1959,1,1
1368,"$2,200.00",Healthcare,Hao Hong,67,China,Tianjin,Pharmaceuticals,Healthcare,United States,TRUE,D,M,Hao,Hong,,1956,1,1
1368,"$2,200.00",Automotive,Shmuel Harlap,78,Israel,Tel Aviv,Automotive,Automotive,Israel,FALSE,U,M,Harlap,Shmuel,,1944,11,13
1368,"$2,200.00",Technology,Hans-Werner Hector,83,Germany,Weinheim,SAP,Technology,Germany,TRUE,D,M,Hector,Hans-Werner,,1940,1,17
1368,"$2,200.00",Healthcare,Lutz Mario Helmig & family,76,Germany,Grebenhain,Hospitals,Healthcare,Germany,TRUE,U,M,Helmig,Lutz Mario,,1946,8,29
1368,"$2,200.00",Real Estate,Chulong Huang,64,China,Shenzhen,Real estate,Real Estate,Canada,TRUE,D,M,Huang,Chulong,,1959,1,1
1368,"$2,200.00",Finance & Investments,Thomas James,80,United States,Saint Petersburg,Finance,Finance & Investments,United States,FALSE,U,M,James,Thomas,,1942,5,10
1368,"$2,200.00",Fashion & Retail,James Jannard,73,United States,San Juan Islands,Sunglasses,Fashion & Retail,United States,TRUE,D,M,Jannard,James,,1949,6,8
1368,"$2,200.00",Automotive,Willis Johnson,75,United States,Franklin,Damaged cars,Automotive,United States,TRUE,U,M,Johnson,Willis,,1947,5,26
1368,"$2,200.00",Fashion & Retail,Lai Shixian,48,China,Quanzhou,Sports apparel,Fashion & Retail,China,TRUE,U,M,Lai,Shixian,,1975,1,1
1368,"$2,200.00",Finance & Investments,Chris Larsen,62,United States,San Francisco,Cryptocurrency,Finance & Investments,United States,TRUE,D,M,Larsen,Chris,,1960,6,15
1368,"$2,200.00",Fashion & Retail,Solomon Lew,78,Australia,Melbourne,Retail,Fashion & Retail,Australia,TRUE,D,M,Lew,Solomon,,1945,3,22
1368,"$2,200.00",Diversified,Liang Xinjun,54,Singapore,Singapore,Conglomerate,Diversified,Singapore,TRUE,E,M,Liang,Xinjun,,1968,10,1
1368,"$2,200.00",Diversified,Harald Link,68,Thailand,Bangkok,Diversified,Diversified,Thailand,FALSE,U,M,Link,Harald,,1955,1,12
1368,"$2,200.00",Technology,Max Lytvyn,43,United States,San Francisco,Software,Technology,Canada,TRUE,D,M,Lytvyn,Max,,1980,1,1
1368,"$2,200.00",Energy,Igor Makarov,60,United States,Miami,Investments,Energy,Cyprus,TRUE,U,M,Makarov,Igor,,1962,4,15
1368,"$2,200.00",Finance & Investments,Howard Marks,76,United States,New York,Private equity,Finance & Investments,United States,TRUE,E,M,Marks,Howard,Chairman,1946,4,23
1368,"$2,200.00",Finance & Investments,Charles Munger,99,United States,Los Angeles,Berkshire Hathaway,Finance & Investments,United States,TRUE,D,M,Munger,Charles,Vice Chairman,1924,1,1
1368,"$2,200.00",Real Estate,Adam Neumann,44,United States,Miami,WeWork,Real Estate,Israel,TRUE,U,M,Neumann,Adam,,1979,4,1
1368,"$2,200.00",Diversified,Thi Phuong Thao Nguyen,52,Vietnam,Ho Chi Minh City,Airlines,Diversified,Vietnam,TRUE,D,F,Nguyen,Thi Phuong Thao,Cofounder and Chairman,1970,6,7
1368,"$2,200.00",Food & Beverage,Ni Yongpei & family,71,China,Liuan,Beverages,Food & Beverage,China,TRUE,D,M,Ni,Yongpei,,1952,1,23
1368,"$2,200.00",Manufacturing,Heloise Pratt,60,Australia,Melbourne,"Manufacturing, investment",Manufacturing,Australia,FALSE,D,F,Pratt,Heloise,,1962,9,13
1368,"$2,200.00",Technology,Qi Xiangdong,52,China,Beijing,Software,Technology,China,TRUE,U,M,Qi,Xiangdong,,1970,10,1
1368,"$2,200.00",Technology,Phillip T. (Terry) Ragon,73,United States,Boston,Health IT,Technology,United States,TRUE,U,M,Ragon,Phillip T. (Terry),,1949,6,1
1368,"$2,200.00",Healthcare,Prathap Reddy,91,India,Chennai,Healthcare,Healthcare,India,TRUE,D,M,Reddy,Prathap,,1932,2,5
1368,"$2,200.00",Sports,Jerry Reinsdorf,87,United States,Chicago,Sports teams,Sports,United States,TRUE,U,M,Reinsdorf,Jerry,,1936,2,25
